,raceId,driverId,grid,position,constructorId,lap,code,year,name_x,circuitId,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,diff,name_y,circuitRef,name
104,880,818,13,12,5,24,VER,2013,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
105,880,818,13,12,5,44,VER,2013,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
106,926,832,7,9,5,24,SAI,2015,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
107,948,832,7,9,5,8,SAI,2016,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
108,948,832,7,9,5,18,SAI,2016,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
109,948,832,7,9,5,31,SAI,2016,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
110,948,830,5,10,5,13,VER,2016,Australian Grand Prix,1,,,,,,-5,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
111,948,830,5,10,5,18,VER,2016,Australian Grand Prix,1,,,,,,-5,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
112,948,830,5,10,5,32,VER,2016,Australian Grand Prix,1,,,,,,-5,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
113,969,826,9,9,5,34,KVY,2017,Australian Grand Prix,1,,,,,,0,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
114,969,826,9,9,5,49,KVY,2017,Australian Grand Prix,1,,,,,,0,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
115,969,832,8,8,5,18,SAI,2017,Australian Grand Prix,1,,,,,,0,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
116,989,843,16,15,5,1,HAR,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
117,989,843,16,15,5,22,HAR,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
118,1010,826,15,10,5,26,KVY,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,5,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
119,1010,848,13,14,5,14,ALB,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,-1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
120,900,818,6,8,5,12,VER,2014,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
121,900,818,6,8,5,33,VER,2014,Australian Grand Prix,1,,,,,,-2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
122,900,826,8,9,5,12,KVY,2014,Australian Grand Prix,1,,,,,,-1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
123,900,826,8,9,5,36,KVY,2014,Australian Grand Prix,1,,,,,,-1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
124,841,16,16,9,10,16,SUT,2011,Australian Grand Prix,1,,,,,,7,Force India,albert_park,Albert Park Grand Prix Circuit
125,841,16,16,9,10,37,SUT,2011,Australian Grand Prix,1,,,,,,7,Force India,albert_park,Albert Park Grand Prix Circuit
126,841,814,14,10,10,14,DIR,2011,Australian Grand Prix,1,,,,,,4,Force India,albert_park,Albert Park Grand Prix Circuit
127,841,814,14,10,10,36,DIR,2011,Australian Grand Prix,1,,,,,,4,Force India,albert_park,Albert Park Grand Prix Circuit
128,860,814,15,10,10,13,DIR,2012,Australian Grand Prix,1,,,,,,5,Force India,albert_park,Albert Park Grand Prix Circuit
129,860,814,15,10,10,33,DIR,2012,Australian Grand Prix,1,,,,,,5,Force India,albert_park,Albert Park Grand Prix Circuit
130,880,16,12,7,10,21,SUT,2013,Australian Grand Prix,1,,,,,,5,Force India,albert_park,Albert Park Grand Prix Circuit
131,880,16,12,7,10,46,SUT,2013,Australian Grand Prix,1,,,,,,5,Force India,albert_park,Albert Park Grand Prix Circuit
132,880,814,9,8,10,8,DIR,2013,Australian Grand Prix,1,,,,,,1,Force India,albert_park,Albert Park Grand Prix Circuit
133,880,814,9,8,10,33,DIR,2013,Australian Grand Prix,1,,,,,,1,Force India,albert_park,Albert Park Grand Prix Circuit
134,926,815,14,10,10,38,PER,2015,Australian Grand Prix,1,,,,,,4,Force India,albert_park,Albert Park Grand Prix Circuit
135,926,807,13,7,10,21,HUL,2015,Australian Grand Prix,1,,,,,,6,Force India,albert_park,Albert Park Grand Prix Circuit
136,926,807,13,7,10,44,HUL,2015,Australian Grand Prix,1,,,,,,6,Force India,albert_park,Albert Park Grand Prix Circuit
137,948,815,9,13,10,16,PER,2016,Australian Grand Prix,1,,,,,,-4,Force India,albert_park,Albert Park Grand Prix Circuit
138,948,815,9,13,10,18,PER,2016,Australian Grand Prix,1,,,,,,-4,Force India,albert_park,Albert Park Grand Prix Circuit
139,948,807,10,7,10,16,HUL,2016,Australian Grand Prix,1,,,,,,3,Force India,albert_park,Albert Park Grand Prix Circuit
140,948,807,10,7,10,18,HUL,2016,Australian Grand Prix,1,,,,,,3,Force India,albert_park,Albert Park Grand Prix Circuit
141,969,815,10,7,10,17,PER,2017,Australian Grand Prix,1,,,,,,3,Force India,albert_park,Albert Park Grand Prix Circuit
142,969,839,13,10,10,15,OCO,2017,Australian Grand Prix,1,,,,,,3,Force India,albert_park,Albert Park Grand Prix Circuit
143,989,815,12,11,10,24,PER,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,1,Force India,albert_park,Albert Park Grand Prix Circuit
144,989,839,14,12,10,23,OCO,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,2,Force India,albert_park,Albert Park Grand Prix Circuit
145,900,815,16,10,10,1,PER,2014,Australian Grand Prix,1,,,,,,6,Force India,albert_park,Albert Park Grand Prix Circuit
146,900,815,16,10,10,11,PER,2014,Australian Grand Prix,1,,,,,,6,Force India,albert_park,Albert Park Grand Prix Circuit
147,900,815,16,10,10,32,PER,2014,Australian Grand Prix,1,,,,,,6,Force India,albert_park,Albert Park Grand Prix Circuit
148,900,807,7,6,10,12,HUL,2014,Australian Grand Prix,1,,,,,,1,Force India,albert_park,Albert Park Grand Prix Circuit
149,900,807,7,6,10,33,HUL,2014,Australian Grand Prix,1,,,,,,1,Force India,albert_park,Albert Park Grand Prix Circuit
150,841,15,20,13,205,16,TRU,2011,Australian Grand Prix,1,,,,,,7,Lotus,albert_park,Albert Park Grand Prix Circuit
151,841,15,20,13,205,37,TRU,2011,Australian Grand Prix,1,,,,,,7,Lotus,albert_park,Albert Park Grand Prix Circuit
152,841,816,22,14,166,14,DAM,2011,Australian Grand Prix,1,,,,,,8,Virgin,albert_park,Albert Park Grand Prix Circuit
153,841,816,22,14,166,38,DAM,2011,Australian Grand Prix,1,,,,,,8,Virgin,albert_park,Albert Park Grand Prix Circuit
154,860,155,13,6,15,13,KOB,2012,Australian Grand Prix,1,,,,,,7,Sauber,albert_park,Albert Park Grand Prix Circuit
155,860,155,13,6,15,36,KOB,2012,Australian Grand Prix,1,,,,,,7,Sauber,albert_park,Albert Park Grand Prix Circuit
156,860,815,22,8,15,24,PER,2012,Australian Grand Prix,1,,,,,,14,Sauber,albert_park,Albert Park Grand Prix Circuit
157,880,821,18,13,15,5,GUT,2013,Australian Grand Prix,1,,,,,,5,Sauber,albert_park,Albert Park Grand Prix Circuit
158,880,821,18,13,15,27,GUT,2013,Australian Grand Prix,1,,,,,,5,Sauber,albert_park,Albert Park Grand Prix Circuit
159,926,828,15,8,15,1,ERI,2015,Australian Grand Prix,1,,,,,,7,Sauber,albert_park,Albert Park Grand Prix Circuit
160,926,828,15,8,15,26,ERI,2015,Australian Grand Prix,1,,,,,,7,Sauber,albert_park,Albert Park Grand Prix Circuit
161,926,828,15,8,15,43,ERI,2015,Australian Grand Prix,1,,,,,,7,Sauber,albert_park,Albert Park Grand Prix Circuit
162,926,831,10,5,15,25,NAS,2015,Australian Grand Prix,1,,,,,,5,Sauber,albert_park,Albert Park Grand Prix Circuit
163,948,831,17,15,15,10,NAS,2016,Australian Grand Prix,1,,,,,,2,Sauber,albert_park,Albert Park Grand Prix Circuit
164,948,831,17,15,15,18,NAS,2016,Australian Grand Prix,1,,,,,,2,Sauber,albert_park,Albert Park Grand Prix Circuit
165,969,841,16,12,15,15,GIO,2017,Australian Grand Prix,1,,,,,,4,Sauber,albert_park,Albert Park Grand Prix Circuit
166,989,844,18,13,15,20,LEC,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,5,Sauber,albert_park,Albert Park Grand Prix Circuit
167,989,844,18,13,15,27,LEC,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,5,Sauber,albert_park,Albert Park Grand Prix Circuit
168,900,16,13,11,15,35,SUT,2014,Australian Grand Prix,1,,,,,,2,Sauber,albert_park,Albert Park Grand Prix Circuit
169,900,821,20,12,15,1,GUT,2014,Australian Grand Prix,1,,,,,,8,Sauber,albert_park,Albert Park Grand Prix Circuit
170,900,821,20,12,15,30,GUT,2014,Australian Grand Prix,1,,,,,,8,Sauber,albert_park,Albert Park Grand Prix Circuit
171,860,3,7,12,131,12,ROS,2012,Australian Grand Prix,1,,,,,,-5,Mercedes,albert_park,Albert Park Grand Prix Circuit
172,860,3,7,12,131,31,ROS,2012,Australian Grand Prix,1,,,,,,-5,Mercedes,albert_park,Albert Park Grand Prix Circuit
173,880,1,3,5,131,13,HAM,2013,Australian Grand Prix,1,,,,,,-2,Mercedes,albert_park,Albert Park Grand Prix Circuit
174,880,1,3,5,131,31,HAM,2013,Australian Grand Prix,1,,,,,,-2,Mercedes,albert_park,Albert Park Grand Prix Circuit
175,880,1,3,5,131,42,HAM,2013,Australian Grand Prix,1,,,,,,-2,Mercedes,albert_park,Albert Park Grand Prix Circuit
176,926,1,1,1,131,25,HAM,2015,Australian Grand Prix,1,,,,,,0,Mercedes,albert_park,Albert Park Grand Prix Circuit
177,926,3,2,2,131,26,ROS,2015,Australian Grand Prix,1,,,,,,0,Mercedes,albert_park,Albert Park Grand Prix Circuit
178,948,1,1,2,131,16,HAM,2016,Australian Grand Prix,1,,,,,,-1,Mercedes,albert_park,Albert Park Grand Prix Circuit
179,948,1,1,2,131,18,HAM,2016,Australian Grand Prix,1,,,,,,-1,Mercedes,albert_park,Albert Park Grand Prix Circuit
180,948,3,2,1,131,12,ROS,2016,Australian Grand Prix,1,,,,,,1,Mercedes,albert_park,Albert Park Grand Prix Circuit
181,948,3,2,1,131,18,ROS,2016,Australian Grand Prix,1,,,,,,1,Mercedes,albert_park,Albert Park Grand Prix Circuit
182,969,1,1,2,131,17,HAM,2017,Australian Grand Prix,1,,,,,,-1,Mercedes,albert_park,Albert Park Grand Prix Circuit
183,969,822,3,3,131,25,BOT,2017,Australian Grand Prix,1,,,,,,0,Mercedes,albert_park,Albert Park Grand Prix Circuit
184,989,1,1,2,131,19,HAM,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,-1,Mercedes,albert_park,Albert Park Grand Prix Circuit
185,989,822,15,8,131,25,BOT,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,7,Mercedes,albert_park,Albert Park Grand Prix Circuit
186,1010,1,1,2,131,15,HAM,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,-1,Mercedes,albert_park,Albert Park Grand Prix Circuit
187,1010,822,2,1,131,23,BOT,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,1,Mercedes,albert_park,Albert Park Grand Prix Circuit
188,900,3,3,1,131,12,ROS,2014,Australian Grand Prix,1,,,,,,2,Mercedes,albert_park,Albert Park Grand Prix Circuit
189,900,3,3,1,131,38,ROS,2014,Australian Grand Prix,1,,,,,,2,Mercedes,albert_park,Albert Park Grand Prix Circuit
190,860,813,8,13,3,16,MAL,2012,Australian Grand Prix,1,,,,,,-5,Williams,albert_park,Albert Park Grand Prix Circuit
191,860,813,8,13,3,37,MAL,2012,Australian Grand Prix,1,,,,,,-5,Williams,albert_park,Albert Park Grand Prix Circuit
192,860,811,14,16,3,1,SEN,2012,Australian Grand Prix,1,,,,,,-2,Williams,albert_park,Albert Park Grand Prix Circuit
193,860,811,14,16,3,30,SEN,2012,Australian Grand Prix,1,,,,,,-2,Williams,albert_park,Albert Park Grand Prix Circuit
194,860,811,14,16,3,47,SEN,2012,Australian Grand Prix,1,,,,,,-2,Williams,albert_park,Albert Park Grand Prix Circuit
195,880,822,16,14,3,6,BOT,2013,Australian Grand Prix,1,,,,,,2,Williams,albert_park,Albert Park Grand Prix Circuit
196,880,822,16,14,3,24,BOT,2013,Australian Grand Prix,1,,,,,,2,Williams,albert_park,Albert Park Grand Prix Circuit
197,880,822,16,14,3,40,BOT,2013,Australian Grand Prix,1,,,,,,2,Williams,albert_park,Albert Park Grand Prix Circuit
198,926,13,3,4,3,21,MAS,2015,Australian Grand Prix,1,,,,,,-1,Williams,albert_park,Albert Park Grand Prix Circuit
